run_idx,prompt_id,prompt_text,seed,condition,node_type,angle,d_target,prefix,expected_file
13,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S01_oil_s1337_scramble_B,S01_oil_s1337_scramble_B_00001_.png
14,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S01_oil_s4242145_baseline,S01_oil_s4242145_baseline_00001_.png
15,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S01_oil_s4242145_Block_1_pos,S01_oil_s4242145_Block_1_pos_00001_.png
16,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S01_oil_s4242145_Block_1_neg,S01_oil_s4242145_Block_1_neg_00001_.png
17,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S01_oil_s4242145_Block_6_pos,S01_oil_s4242145_Block_6_pos_00001_.png
18,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S01_oil_s4242145_Block_6_neg,S01_oil_s4242145_Block_6_neg_00001_.png
19,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S01_oil_s4242145_scramble_A,S01_oil_s4242145_scramble_A_00001_.png
20,S01_oil,"Style: classic oil painting on textured canvas, visible impasto brushwork, rich blending, fine art realism. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S01_oil_s4242145_scramble_B,S01_oil_s4242145_scramble_B_00001_.png
21,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S02_linocut_s42_baseline,S02_linocut_s42_baseline_00001_.png
22,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S02_linocut_s42_Block_1_pos,S02_linocut_s42_Block_1_pos_00001_.png
23,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S02_linocut_s42_Block_1_neg,S02_linocut_s42_Block_1_neg_00001_.png
24,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S02_linocut_s42_Block_6_pos,S02_linocut_s42_Block_6_pos_00001_.png
25,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S02_linocut_s42_Block_6_neg,S02_linocut_s42_Block_6_neg_00001_.png
26,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S02_linocut_s42_scramble_A,S02_linocut_s42_scramble_A_00001_.png
27,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S02_linocut_s42_scramble_B,S02_linocut_s42_scramble_B_00001_.png
28,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S02_linocut_s1337_baseline,S02_linocut_s1337_baseline_00001_.png
29,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S02_linocut_s1337_Block_1_pos,S02_linocut_s1337_Block_1_pos_00001_.png
30,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S02_linocut_s1337_Block_1_neg,S02_linocut_s1337_Block_1_neg_00001_.png
31,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S02_linocut_s1337_Block_6_pos,S02_linocut_s1337_Block_6_pos_00001_.png
32,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S02_linocut_s1337_Block_6_neg,S02_linocut_s1337_Block_6_neg_00001_.png
33,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S02_linocut_s1337_scramble_A,S02_linocut_s1337_scramble_A_00001_.png
34,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S02_linocut_s1337_scramble_B,S02_linocut_s1337_scramble_B_00001_.png
35,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S02_linocut_s4242145_baseline,S02_linocut_s4242145_baseline_00001_.png
36,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S02_linocut_s4242145_Block_1_pos,S02_linocut_s4242145_Block_1_pos_00001_.png
37,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S02_linocut_s4242145_Block_1_neg,S02_linocut_s4242145_Block_1_neg_00001_.png
38,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S02_linocut_s4242145_Block_6_pos,S02_linocut_s4242145_Block_6_pos_00001_.png
39,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S02_linocut_s4242145_Block_6_neg,S02_linocut_s4242145_Block_6_neg_00001_.png
40,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S02_linocut_s4242145_scramble_A,S02_linocut_s4242145_scramble_A_00001_.png
41,S02_linocut,"Style: bold linocut print, sharp relief carving, graphic ink lines, paper texture, stark contrasts. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S02_linocut_s4242145_scramble_B,S02_linocut_s4242145_scramble_B_00001_.png
42,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S03_cyberpunk_s42_baseline,S03_cyberpunk_s42_baseline_00001_.png
43,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s42_Block_1_pos,S03_cyberpunk_s42_Block_1_pos_00001_.png
44,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s42_Block_1_neg,S03_cyberpunk_s42_Block_1_neg_00001_.png
45,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S03_cyberpunk_s42_Block_6_pos,S03_cyberpunk_s42_Block_6_pos_00001_.png
46,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S03_cyberpunk_s42_Block_6_neg,S03_cyberpunk_s42_Block_6_neg_00001_.png
47,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s42_scramble_A,S03_cyberpunk_s42_scramble_A_00001_.png
48,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s42_scramble_B,S03_cyberpunk_s42_scramble_B_00001_.png
49,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S03_cyberpunk_s1337_baseline,S03_cyberpunk_s1337_baseline_00001_.png
50,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s1337_Block_1_pos,S03_cyberpunk_s1337_Block_1_pos_00001_.png
51,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s1337_Block_1_neg,S03_cyberpunk_s1337_Block_1_neg_00001_.png
52,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S03_cyberpunk_s1337_Block_6_pos,S03_cyberpunk_s1337_Block_6_pos_00001_.png
53,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S03_cyberpunk_s1337_Block_6_neg,S03_cyberpunk_s1337_Block_6_neg_00001_.png
54,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s1337_scramble_A,S03_cyberpunk_s1337_scramble_A_00001_.png
55,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s1337_scramble_B,S03_cyberpunk_s1337_scramble_B_00001_.png
56,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S03_cyberpunk_s4242145_baseline,S03_cyberpunk_s4242145_baseline_00001_.png
57,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s4242145_Block_1_pos,S03_cyberpunk_s4242145_Block_1_pos_00001_.png
58,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s4242145_Block_1_neg,S03_cyberpunk_s4242145_Block_1_neg_00001_.png
59,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S03_cyberpunk_s4242145_Block_6_pos,S03_cyberpunk_s4242145_Block_6_pos_00001_.png
60,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S03_cyberpunk_s4242145_Block_6_neg,S03_cyberpunk_s4242145_Block_6_neg_00001_.png
61,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s4242145_scramble_A,S03_cyberpunk_s4242145_scramble_A_00001_.png
62,S03_cyberpunk,"Style: neon cyberpunk digital art, glowing vibrant neon lights, glossy surfaces, chromatic aberration, high-tech aesthetic. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",4242145,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S03_cyberpunk_s4242145_scramble_B,S03_cyberpunk_s4242145_scramble_B_00001_.png
63,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S04_gouache_s42_baseline,S04_gouache_s42_baseline_00001_.png
64,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S04_gouache_s42_Block_1_pos,S04_gouache_s42_Block_1_pos_00001_.png
65,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S04_gouache_s42_Block_1_neg,S04_gouache_s42_Block_1_neg_00001_.png
66,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S04_gouache_s42_Block_6_pos,S04_gouache_s42_Block_6_pos_00001_.png
67,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S04_gouache_s42_Block_6_neg,S04_gouache_s42_Block_6_neg_00001_.png
68,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_A,scramble,23.69,0.045,rotations_block1_vs_block6/S04_gouache_s42_scramble_A,S04_gouache_s42_scramble_A_00001_.png
69,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",42,scramble_B,scramble,23.69,0.045,rotations_block1_vs_block6/S04_gouache_s42_scramble_B,S04_gouache_s42_scramble_B_00001_.png
70,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,baseline,rotator,0.0,0.0,rotations_block1_vs_block6/S04_gouache_s1337_baseline,S04_gouache_s1337_baseline_00001_.png
71,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_1_pos,rotator,23.69,0.045,rotations_block1_vs_block6/S04_gouache_s1337_Block_1_pos,S04_gouache_s1337_Block_1_pos_00001_.png
72,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_1_neg,rotator,-23.69,0.045,rotations_block1_vs_block6/S04_gouache_s1337_Block_1_neg,S04_gouache_s1337_Block_1_neg_00001_.png
73,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_6_pos,rotator,32.21,0.045,rotations_block1_vs_block6/S04_gouache_s1337_Block_6_pos,S04_gouache_s1337_Block_6_pos_00001_.png
74,S04_gouache,"Style: opaque gouache illustration, matte finish, layered flat brushstrokes, vibrant poster art. Subject: a red and white vintage sports car cruising along a scenic coastal cliff road, ocean waves, rocky shoreline, golden hour, clear sky.",1337,Block_6_neg,rotator,-32.21,0.045,rotations_block1_vs_block6/S04_gouache_s1337_Block_6_neg,S04_gouache_s1337_Block_6_neg_00001_.png
